District,Total,Date
Salem,7162,03-05-2021
Sivagangai,1055,03-05-2021
Tenkasi,1683,03-05-2021
Thanjavur,1690,03-05-2021
Theni,1098,03-05-2021
Thoothukudi,1093,03-05-2021
Tiruchirapalli,2185,03-05-2021
Tirunelveli,793,03-05-2021
Tirupathur,473,03-05-2021
Tiruppur,1853,03-05-2021
Tiruvallur,2634,03-05-2021
Tiruvannamalai,944,03-05-2021
Tiruvarur,1130,03-05-2021
Vellore,1432,03-05-2021
Villupuram,2386,03-05-2021
Virudhunagar,2433,03-05-2021
Ariyalur,22241,04-04-2021
Chengalpattu,128542,04-04-2021
Chennai,820931,04-04-2021
Coimbatore,207565,04-04-2021
Cuddalore,77323,04-04-2021
Dharmapuri,50994,04-04-2021
Dindigul,67213,04-04-2021
Erode,70921,04-04-2021
Kallakurichi,33083,04-04-2021
Kancheepuram,36838,04-04-2021
Kanniyakumari,60859,04-04-2021
Karur,35358,04-04-2021
Krishnagiri,84570,04-04-2021
Madurai,128691,04-04-2021
Nagapattinam,32355,04-04-2021
Namakkal,82952,04-04-2021
The Nilgiris,74332,04-04-2021
Perambalur,21208,04-04-2021
Pudukkottai,43939,04-04-2021
Ramanathapuram,34435,04-04-2021
Ranipet,23905,04-04-2021
Salem,198947,04-04-2021
Sivagangai,37979,04-04-2021
Tenkasi,34885,04-04-2021
Thanjavur,81683,04-04-2021
Theni,28668,04-04-2021
Thoothukudi,38414,04-04-2021
Tiruchirapalli,116453,04-04-2021
Tirunelveli,39109,04-04-2021
Tirupathur,32358,04-04-2021
Tiruppur,69694,04-04-2021
Tiruvallur,93062,04-04-2021
Tiruvannamalai,46282,04-04-2021
Tiruvarur,21832,04-04-2021
Vellore,90526,04-04-2021
Villupuram,74497,04-04-2021
Virudhunagar,113656,04-04-2021
Ariyalur,43268,04-05-2021
Chengalpattu,260895,04-05-2021
Chennai,1513248,04-05-2021
Coimbatore,424742,04-05-2021
Cuddalore,146798,04-05-2021
Dharmapuri,88796,04-05-2021
