District,Total,Date,Population,Vac,,,,,
Ramanathapuram,77554,10-05-2021,"19,18,725",4041.954944,,,,,
Ranipet,51053,10-05-2021,"13,37,560",3816.875505,,,,,
Salem,375058,10-05-2021,"12,10,277",30989.43465,,,,,
Sivagangai,74507,10-05-2021,"34,80,008",2141.000825,,,,,
Tenkasi,67818,10-05-2021,"13,41,250",5056.328052,,,,,
Thanjavur,153477,10-05-2021,"14,07,627",10903.24354,,,,,
Theni,64064,10-05-2021,"27,13,858",2360.624616,,,,,
Thoothukudi,87615,10-05-2021,"12,43,684",7044.795945,,,,,
Tiruchirapalli,232911,10-05-2021,"16,65,253",13986.52337,,,,,
Tirunelveli,81498,10-05-2021,"24,02,781",3391.819729,,,,,
Tirupathur,73442,10-05-2021,"17,38,376",4224.747696,,,,,
Tiruppur,151672,10-05-2021,"11,11,812",13641.87471,,,,,
Tiruvallur,200314,10-05-2021,"37,25,697",5376.551019,,,,,
Tiruvannamalai,90201,10-05-2021,"12,68,094",7113.11622,,,,,
Tiruvarur,50320,10-05-2021,"24,68,965",2038.100986,,,,,
Vellore,179397,10-05-2021,"16,14,242",11113.38944,,,,,
Villupuram,116004,10-05-2021,"20,93,003",5542.466972,,,,,
Virudhunagar,204935,10-05-2021,"19,43,309",10545.67236,,,,,
Ariyalur,48197,11-05-2021,"7,52,481",6405.078666,,,,,
Chengalpattu,285401,11-05-2021,"25,56,244",11164.8575,,,,,
Chennai,1623657,11-05-2021,"71,00,000",22868.40845,,,,,
Coimbatore,455591,11-05-2021,"34,72,578",13119.67651,,,,,
Cuddalore,158996,11-05-2021,"26,00,880",6113.161699,,,,,
Dharmapuri,96394,11-05-2021,"15,02,900",6413.866525,,,,,
Dindigul,151688,11-05-2021,"21,61,367",7018.151013,,,,,
Erode,153251,11-05-2021,"22,59,608",6782.19408,,,,,
Kallakurichi,63439,11-05-2021,"13,70,281",4629.63436,,,,,
Kancheepuram,76317,11-05-2021,"11,66,401",6542.947065,,,,,
Kanniyakumari,131346,11-05-2021,"18,63,178",7049.567996,,,,,
Karur,65178,11-05-2021,"10,76,588",6054.126555,,,,,
Krishnagiri,153417,11-05-2021,"18,83,731",8144.315722,,,,,
Madurai,253109,11-05-2021,"39,91,038",6341.934103,,,,,
Nagapattinam,65434,11-05-2021,"16,14,069",4053.977866,,,,,
Namakkal,163605,11-05-2021,"7,35,071",22257.03367,,,,,
The Nilgiris,152183,11-05-2021,"24,71,222",6158.208368,,,,,
Perambalur,37625,11-05-2021,"17,21,179",2186.001572,,,,,
Pudukkottai,91947,11-05-2021,"5,64,511",16287.90227,,,,,
Ramanathapuram,78563,11-05-2021,"19,18,725",4094.541948,,,,,
Ranipet,51775,11-05-2021,"13,37,560",3870.854392,,,,,
Salem,378941,11-05-2021,"12,10,277",31310.27029,,,,,
Sivagangai,75829,11-05-2021,"34,80,008",2178.989244,,,,,
Tenkasi,68653,11-05-2021,"13,41,250",5118.583411,,,,,
Thanjavur,155351,11-05-2021,"14,07,627",11036.3754,,,,,
Theni,65192,11-05-2021,"27,13,858",2402.189061,,,,,
Thoothukudi,89001,11-05-2021,"12,43,684",7156.239045,,,,,
Tiruchirapalli,235744,11-05-2021,"16,65,253",14156.64767,,,,,
Tirunelveli,82782,11-05-2021,"24,02,781",3445.257808,,,,,
Tirupathur,74364,11-05-2021,"17,38,376",4277.785703,,,,,
Tiruppur,153678,11-05-2021,"11,11,812",13822.30089,,,,,
Tiruvallur,202463,11-05-2021,"37,25,697",5434.231501,,,,,
Tiruvannamalai,91230,11-05-2021,"12,68,094",7194.261624,,,,,
Tiruvarur,51271,11-05-2021,"24,68,965",2076.61915,,,,,
Vellore,181072,11-05-2021,"16,14,242",11217.15331,,,,,
Villupuram,116722,11-05-2021,"20,93,003",5576.771749,,,,,
Virudhunagar,208939,11-05-2021,"19,43,309",10751.71267,,,,,
Ariyalur,49162,12-05-2021,"7,52,481",6533.321107,,,,,
Chengalpattu,288662,12-05-2021,"25,56,244",11292.42748,,,,,
Chennai,1638287,12-05-2021,"71,00,000",23074.46479,,,,,
Coimbatore,459008,12-05-2021,"34,72,578",13218.07602,,,,,
Cuddalore,160703,12-05-2021,"26,00,880",6178.793331,,,,,
Dharmapuri,97597,12-05-2021,"15,02,900",6493.911771,,,,,
Dindigul,154096,12-05-2021,"21,61,367",7129.561986,,,,,
Erode,156226,12-05-2021,"22,59,608",6913.854084,,,,,
Kallakurichi,64038,12-05-2021,"13,70,281",4673.348021,,,,,
Kancheepuram,77452,12-05-2021,"11,66,401",6640.254938,,,,,
Kanniyakumari,134487,12-05-2021,"18,63,178",7218.150923,,,,,
Karur,66821,12-05-2021,"10,76,588",6206.738325,,,,,
Krishnagiri,156245,12-05-2021,"18,83,731",8294.443315,,,,,
Madurai,256345,12-05-2021,"39,91,038",6423.015767,,,,,
Nagapattinam,66277,12-05-2021,"16,14,069",4106.206116,,,,,
Namakkal,167833,12-05-2021,"7,35,071",22832.21621,,,,,
The Nilgiris,155868,12-05-2021,"24,71,222",6307.324878,,,,,
Perambalur,37926,12-05-2021,"17,21,179",2203.489585,,,,,
Pudukkottai,93242,12-05-2021,"5,64,511",16517.30436,,,,,
Ramanathapuram,79644,12-05-2021,"19,18,725",4150.881445,,,,,
Ranipet,52382,12-05-2021,"13,37,560",3916.235533,,,,,
Salem,383161,12-05-2021,"12,10,277",31658.9508,,,,,
Sivagangai,77232,12-05-2021,"34,80,008",2219.305243,,,,,
Tenkasi,70079,12-05-2021,"13,41,250",5224.902144,,,,,
Thanjavur,157235,12-05-2021,"14,07,627",11170.21768,,,,,
Theni,66010,12-05-2021,"27,13,858",2432.330653,,,,,
Thoothukudi,90279,12-05-2021,"12,43,684",7258.998266,,,,,
Tiruchirapalli,239059,12-05-2021,"16,65,253",14355.71652,,,,,
Tirunelveli,84250,12-05-2021,"24,02,781",3506.353679,,,,,
Tirupathur,74898,12-05-2021,"17,38,376",4308.504029,,,,,
Tiruppur,155003,12-05-2021,"11,11,812",13941.47572,,,,,
Tiruvallur,204189,12-05-2021,"37,25,697",5480.558403,,,,,
Tiruvannamalai,92218,12-05-2021,"12,68,094",7272.173829,,,,,
Tiruvarur,51340,12-05-2021,"24,68,965",2079.413843,,,,,
Vellore,182442,12-05-2021,"16,14,242",11302.02287,,,,,
Villupuram,118441,12-05-2021,"20,93,003",5658.902543,,,,,
Virudhunagar,212790,12-05-2021,"19,43,309",10949.87982,,,,,
Ariyalur,28189,13-04-2021,"7,52,481",3746.141099,,,,,
Chengalpattu,170124,13-04-2021,"25,56,244",6655.233225,,,,,
Chennai,1009344,13-04-2021,"71,00,000",14216.11268,,,,,
Coimbatore,280290,13-04-2021,"34,72,578",8071.524959,,,,,
Cuddalore,97784,13-04-2021,"26,00,880",3759.65058,,,,,
Dharmapuri,59972,13-04-2021,"15,02,900",3990.418524,,,,,
Dindigul,90212,13-04-2021,"21,61,367",4173.839982,,,,,
Erode,91846,13-04-2021,"22,59,608",4064.687326,,,,,
Kallakurichi,41193,13-04-2021,"13,70,281",3006.171727,,,,,
Kancheepuram,46689,13-04-2021,"11,66,401",4002.825786,,,,,
Kanniyakumari,80027,13-04-2021,"18,63,178",4295.188114,,,,,
Karur,43010,13-04-2021,"10,76,588",3995.028739,,,,,
Krishnagiri,100096,13-04-2021,"18,83,731",5313.709866,,,,,
Madurai,163038,13-04-2021,"39,91,038",4085.102673,,,,,
Nagapattinam,40952,13-04-2021,"16,14,069",2537.19017,,,,,
Namakkal,102865,13-04-2021,"7,35,071",13993.8863,,,,,
The Nilgiris,95161,13-04-2021,"24,71,222",3850.766948,,,,,
Perambalur,24636,13-04-2021,"17,21,179",1431.344445,,,,,
Pudukkottai,55257,13-04-2021,"5,64,511",9788.471792,,,,,
Ramanathapuram,47076,13-04-2021,"19,18,725",2453.50428,,,,,
Ranipet,30097,13-04-2021,"13,37,560",2250.14205,,,,,
Salem,250209,13-04-2021,"12,10,277",20673.69701,,,,,
Sivagangai,46174,13-04-2021,"34,80,008",1326.83603,,,,,
Tenkasi,42956,13-04-2021,"13,41,250",3202.684063,,,,,
Thanjavur,102561,13-04-2021,"14,07,627",7286.092125,,,,,
Theni,39916,13-04-2021,"27,13,858",1470.821244,,,,,
Thoothukudi,50863,13-04-2021,"12,43,684",4089.704459,,,,,
Tiruchirapalli,146035,13-04-2021,"16,65,253",8769.538322,,,,,
Tirunelveli,51672,13-04-2021,"24,02,781",2150.508099,,,,,
Tirupathur,43678,13-04-2021,"17,38,376",2512.574955,,,,,
Tiruppur,95028,13-04-2021,"11,11,812",8547.128471,,,,,
Tiruvallur,118031,13-04-2021,"37,25,697",3168.024668,,,,,
Tiruvannamalai,57322,13-04-2021,"12,68,094",4520.327357,,,,,
Tiruvarur,25421,13-04-2021,"24,68,965",1029.621724,,,,,
Vellore,112297,13-04-2021,"16,14,242",6956.639711,,,,,
Villupuram,84166,13-04-2021,"20,93,003",4021.303362,,,,,
Virudhunagar,135143,13-04-2021,"19,43,309",6954.272326,,,,,
Ariyalur,50022,13-05-2021,"7,52,481",6647.609707,,,,,
Chengalpattu,292551,13-05-2021,"25,56,244",11444.56476,,,,,
Chennai,1655320,13-05-2021,"71,00,000",23314.3662,,,,,
Coimbatore,462886,13-05-2021,"34,72,578",13329.75098,,,,,
Cuddalore,163008,13-05-2021,"26,00,880",6267.417182,,,,,
Dharmapuri,99185,13-05-2021,"15,02,900",6599.574157,,,,,
Dindigul,157582,13-05-2021,"21,61,367",7290.848801,,,,,
Erode,158010,13-05-2021,"22,59,608",6992.805832,,,,,
Kallakurichi,65279,13-05-2021,"13,70,281",4763.913387,,,,,
Kancheepuram,78985,13-05-2021,"11,66,401",6771.684867,,,,,
Kanniyakumari,135781,13-05-2021,"18,63,178",7287.602151,,,,,
Karur,68439,13-05-2021,"10,76,588",6357.027944,,,,,
Krishnagiri,159470,13-05-2021,"18,83,731",8465.646103,,,,,
Madurai,259770,13-05-2021,"39,91,038",6508.83304,,,,,
Nagapattinam,67369,13-05-2021,"16,14,069",4173.861217,,,,,
Namakkal,170924,13-05-2021,"7,35,071",23252.71981,,,,,
The Nilgiris,160688,13-05-2021,"24,71,222",6502.370082,,,,,
Perambalur,38335,13-05-2021,"17,21,179",2227.252366,,,,,
Pudukkottai,94884,13-05-2021,"5,64,511",16808.17557,,,,,
Ramanathapuram,81055,13-05-2021,"19,18,725",4224.419862,,,,,
Ranipet,53479,13-05-2021,"13,37,560",3998.250546,,,,,
Salem,387699,13-05-2021,"12,10,277",32033.90629,,,,,
Sivagangai,78874,13-05-2021,"34,80,008",2266.489043,,,,,
Tenkasi,71491,13-05-2021,"13,41,250",5330.177074,,,,,
Thanjavur,159343,13-05-2021,"14,07,627",11319.97326,,,,,
Theni,66793,13-05-2021,"27,13,858",2461.182567,,,,,
Thoothukudi,91625,13-05-2021,"12,43,684",7367.225115,,,,,
Tiruchirapalli,242646,13-05-2021,"16,65,253",14571.11922,,,,,
Tirunelveli,86145,13-05-2021,"24,02,781",3585.220626,,,,,
Tirupathur,75572,13-05-2021,"17,38,376",4347.275848,,,,,
Tiruppur,156910,13-05-2021,"11,11,812",14112.99752,,,,,
Tiruvallur,206939,13-05-2021,"37,25,697",5554.370095,,,,,
Tiruvannamalai,93710,13-05-2021,"12,68,094",7389.830722,,,,,
Tiruvarur,52496,13-05-2021,"24,68,965",2126.235082,,,,,
Vellore,183901,13-05-2021,"16,14,242",11392.40585,,,,,
Villupuram,120380,13-05-2021,"20,93,003",5751.544551,,,,,
Virudhunagar,216113,13-05-2021,"19,43,309",11120.87681,,,,,
Ariyalur,28884,14-04-2021,"7,52,481",3838.502235,,,,,
Chengalpattu,172739,14-04-2021,"25,56,244",6757.531754,,,,,
Chennai,1023492,14-04-2021,"71,00,000",14415.38028,,,,,
Coimbatore,285165,14-04-2021,"34,72,578",8211.910575,,,,,
Cuddalore,99042,14-04-2021,"26,00,880",3808.018824,,,,,
Dharmapuri,62060,14-04-2021,"15,02,900",4129.349923,,,,,
Dindigul,93450,14-04-2021,"21,61,367",4323.652577,,,,,
Erode,93940,14-04-2021,"22,59,608",4157.358267,,,,,
Kallakurichi,41839,14-04-2021,"13,70,281",3053.315342,,,,,
Kancheepuram,47974,14-04-2021,"11,66,401",4112.99373,,,,,
Kanniyakumari,82026,14-04-2021,"18,63,178",4402.477917,,,,,
Karur,44237,14-04-2021,"10,76,588",4108.999915,,,,,
Krishnagiri,101014,14-04-2021,"18,83,731",5362.442939,,,,,
Madurai,166097,14-04-2021,"39,91,038",4161.7494,,,,,
Nagapattinam,41237,14-04-2021,"16,14,069",2554.847407,,,,,
Namakkal,105176,14-04-2021,"7,35,071",14308.2777,,,,,
The Nilgiris,96931,14-04-2021,"24,71,222",3922.391432,,,,,
Perambalur,25196,14-04-2021,"17,21,179",1463.880282,,,,,
Pudukkottai,56580,14-04-2021,"5,64,511",10022.83392,,,,,
Ramanathapuram,47811,14-04-2021,"19,18,725",2491.810968,,,,,
Ranipet,30758,14-04-2021,"13,37,560",2299.560394,,,,,
Salem,254257,14-04-2021,"12,10,277",21008.1659,,,,,
Sivagangai,47153,14-04-2021,"34,80,008",1354.968149,,,,,
Tenkasi,43609,14-04-2021,"13,41,250",3251.369991,,,,,
Thanjavur,103909,14-04-2021,"14,07,627",7381.856131,,,,,
Theni,40841,14-04-2021,"27,13,858",1504.905562,,,,,
Thoothukudi,52103,14-04-2021,"12,43,684",4189.408242,,,,,
Tiruchirapalli,148446,14-04-2021,"16,65,253",8914.321127,,,,,
Tirunelveli,52388,14-04-2021,"24,02,781",2180.306903,,,,,
Tirupathur,46023,14-04-2021,"17,38,376",2647.470973,,,,,
Tiruppur,96894,14-04-2021,"11,11,812",8714.962602,,,,,
Tiruvallur,120131,14-04-2021,"37,25,697",3224.38996,,,,,
Tiruvannamalai,58189,14-04-2021,"12,68,094",4588.697683,,,,,
Tiruvarur,26184,14-04-2021,"24,68,965",1060.525362,,,,,
Vellore,115315,14-04-2021,"16,14,242",7143.600526,,,,,
Villupuram,84642,14-04-2021,"20,93,003",4044.045804,,,,,
Virudhunagar,137231,14-04-2021,"19,43,309",7061.717925,,,,,
Ariyalur,50803,14-05-2021,"7,52,481",6751.399703,,,,,
Chengalpattu,294143,14-05-2021,"25,56,244",11506.84363,,,,,
Chennai,1666856,14-05-2021,"71,00,000",23476.84507,,,,,
Coimbatore,467371,14-05-2021,"34,72,578",13458.90575,,,,,
Cuddalore,164306,14-05-2021,"26,00,880",6317.323367,,,,,
Dharmapuri,99672,14-05-2021,"15,02,900",6631.978176,,,,,
Dindigul,158795,14-05-2021,"21,61,367",7346.97069,,,,,
Erode,158902,14-05-2021,"22,59,608",7032.281705,,,,,
Kallakurichi,66243,14-05-2021,"13,70,281",4834.263921,,,,,
Kancheepuram,80170,14-05-2021,"11,66,401",6873.27943,,,,,
Kanniyakumari,135938,14-05-2021,"18,63,178",7296.028613,,,,,
Karur,69295,14-05-2021,"10,76,588",6436.538397,,,,,
Krishnagiri,160964,14-05-2021,"18,83,731",8544.956791,,,,,
Madurai,262099,14-05-2021,"39,91,038",6567.188786,,,,,
Nagapattinam,68069,14-05-2021,"16,14,069",4217.229871,,,,,
Namakkal,172186,14-05-2021,"7,35,071",23424.4039,,,,,
The Nilgiris,161393,14-05-2021,"24,71,222",6530.898479,,,,,
Perambalur,38466,14-05-2021,"17,21,179",2234.863428,,,,,
Pudukkottai,96102,14-05-2021,"5,64,511",17023.93753,,,,,
Ramanathapuram,81534,14-05-2021,"19,18,725",4249.384357,,,,,
Ranipet,54076,14-05-2021,"13,37,560",4042.884058,,,,,
Salem,390709,14-05-2021,"12,10,277",32282.60968,,,,,
Sivagangai,79617,14-05-2021,"34,80,008",2287.839568,,,,,
Tenkasi,72152,14-05-2021,"13,41,250",5379.459459,,,,,
Thanjavur,160682,14-05-2021,"14,07,627",11415.09789,,,,,
Theni,67360,14-05-2021,"27,13,858",2482.075333,,,,,
Thoothukudi,92589,14-05-2021,"12,43,684",7444.736766,,,,,
Tiruchirapalli,244658,14-05-2021,"16,65,253",14691.9417,,,,,
Tirunelveli,87049,14-05-2021,"24,02,781",3622.843697,,,,,
Tirupathur,76085,14-05-2021,"17,38,376",4376.78615,,,,,
Tiruppur,157352,14-05-2021,"11,11,812",14152.75244,,,,,
Tiruvallur,208385,14-05-2021,"37,25,697",5593.181625,,,,,
Tiruvannamalai,94155,14-05-2021,"12,68,094",7424.922758,,,,,
Tiruvarur,53983,14-05-2021,"24,68,965",2186.462749,,,,,
Vellore,184519,14-05-2021,"16,14,242",11430.69007,,,,,
Villupuram,121493,14-05-2021,"20,93,003",5804.721732,,,,,
Virudhunagar,218218,14-05-2021,"19,43,309",11229.19721,,,,,
Ariyalur,31491,15-04-2021,"7,52,481",4184.956165,,,,,
Chengalpattu,181273,15-04-2021,"25,56,244",7091.380948,,,,,
Chennai,1064148,15-04-2021,"71,00,000",14988,,,,,
Coimbatore,307034,15-04-2021,"34,72,578",8841.673247,,,,,
Cuddalore,104447,15-04-2021,"26,00,880",4015.833103,,,,,
Dharmapuri,66160,15-04-2021,"15,02,900",4402.155832,,,,,
Dindigul,99468,15-04-2021,"21,61,367",4602.087475,,,,,
Erode,97298,15-04-2021,"22,59,608",4305.968115,,,,,
Kallakurichi,44258,15-04-2021,"13,70,281",3229.848476,,,,,
Kancheepuram,50028,15-04-2021,"11,66,401",4289.090973,,,,,
Kanniyakumari,86022,15-04-2021,"18,63,178",4616.950179,,,,,
Karur,45007,15-04-2021,"10,76,588",4180.522168,,,,,
Krishnagiri,105011,15-04-2021,"18,83,731",5574.628225,,,,,
Madurai,173769,15-04-2021,"39,91,038",4353.980092,,,,,
Nagapattinam,43524,15-04-2021,"16,14,069",2696.538996,,,,,
Namakkal,109562,15-04-2021,"7,35,071",14904.95476,,,,,
The Nilgiris,99041,15-04-2021,"24,71,222",4007.774291,,,,,
Perambalur,26281,15-04-2021,"17,21,179",1526.918467,,,,,
Pudukkottai,59498,15-04-2021,"5,64,511",10539.74148,,,,,
Ramanathapuram,51821,15-04-2021,"19,18,725",2700.803919,,,,,
Ranipet,33055,15-04-2021,"13,37,560",2471.291008,,,,,
Salem,264231,15-04-2021,"12,10,277",21832.27476,,,,,
Sivagangai,50085,15-04-2021,"34,80,008",1439.220829,,,,,
Tenkasi,46990,15-04-2021,"13,41,250",3503.448276,,,,,
Thanjavur,109040,15-04-2021,"14,07,627",7746.37031,,,,,
Theni,44403,15-04-2021,"27,13,858",1636.157824,,,,,
Thoothukudi,56153,15-04-2021,"12,43,684",4515.053663,,,,,
Tiruchirapalli,158473,15-04-2021,"16,65,253",9516.451854,,,,,
Tirunelveli,55704,15-04-2021,"24,02,781",2318.313654,,,,,
Tirupathur,51163,15-04-2021,"17,38,376",2943.149238,,,,,
Tiruppur,102877,15-04-2021,"11,11,812",9253.093149,,,,,
Tiruvallur,129054,15-04-2021,"37,25,697",3463.88877,,,,,
Tiruvannamalai,61734,15-04-2021,"12,68,094",4868.251092,,,,,
Tiruvarur,28742,15-04-2021,"24,68,965",1164.131529,,,,,
Vellore,123357,15-04-2021,"16,14,242",7641.791008,,,,,
Villupuram,87182,15-04-2021,"20,93,003",4165.402534,,,,,
Virudhunagar,143245,15-04-2021,"19,43,309",7371.190068,,,,,
Ariyalur,51674,15-05-2021,"7,52,481",6867.150134,,,,,
Chengalpattu,295368,15-05-2021,"25,56,244",11554.76551,,,,,
Chennai,1686632,15-05-2021,"71,00,000",23755.38028,,,,,
Coimbatore,471032,15-05-2021,"34,72,578",13564.33174,,,,,
Cuddalore,166279,15-05-2021,"26,00,880",6393.182308,,,,,
Dharmapuri,101582,15-05-2021,"15,02,900",6759.065806,,,,,
Dindigul,159707,15-05-2021,"21,61,367",7389.166208,,,,,
Erode,159894,15-05-2021,"22,59,608",7076.183126,,,,,
Kallakurichi,67254,15-05-2021,"13,70,281",4908.044408,,,,,
Kancheepuram,81605,15-05-2021,"11,66,401",6996.307445,,,,,
Kanniyakumari,135998,15-05-2021,"18,63,178",7299.248918,,,,,
Karur,69903,15-05-2021,"10,76,588",6493.013112,,,,,
Krishnagiri,162446,15-05-2021,"18,83,731",8623.630444,,,,,
Madurai,264046,15-05-2021,"39,91,038",6615.973088,,,,,
Nagapattinam,68927,15-05-2021,"16,14,069",4270.387449,,,,,
Namakkal,172908,15-05-2021,"7,35,071",23522.62571,,,,,
The Nilgiris,162550,15-05-2021,"24,71,222",6577.717421,,,,,
Perambalur,38764,15-05-2021,"17,21,179",2252.177141,,,,,
Pudukkottai,97086,15-05-2021,"5,64,511",17198.24769,,,,,
Ramanathapuram,82303,15-05-2021,"19,18,725",4289.463055,,,,,
Ranipet,54564,15-05-2021,"13,37,560",4079.368402,,,,,
Salem,392841,15-05-2021,"12,10,277",32458.7677,,,,,
Sivagangai,80667,15-05-2021,"34,80,008",2318.011913,,,,,
Tenkasi,73026,15-05-2021,"13,41,250",5444.622554,,,,,
Thanjavur,161733,15-05-2021,"14,07,627",11489.76256,,,,,
Theni,67788,15-05-2021,"27,13,858",2497.84624,,,,,
Thoothukudi,93632,15-05-2021,"12,43,684",7528.600513,,,,,
Tiruchirapalli,246788,15-05-2021,"16,65,253",14819.8502,,,,,
Tirunelveli,87986,15-05-2021,"24,02,781",3661.840176,,,,,
Tirupathur,76641,15-05-2021,"17,38,376",4408.770024,,,,,
Tiruppur,157722,15-05-2021,"11,11,812",14186.03145,,,,,
Tiruvallur,210537,15-05-2021,"37,25,697",5650.942629,,,,,
Tiruvannamalai,95097,15-05-2021,"12,68,094",7499.207472,,,,,
Tiruvarur,54319,15-05-2021,"24,68,965",2200.07169,,,,,
Vellore,185778,15-05-2021,"16,14,242",11508.68333,,,,,
Villupuram,123483,15-05-2021,"20,93,003",5899.80043,,,,,
Virudhunagar,220182,15-05-2021,"19,43,309",11330.26194,,,,,
Ariyalur,34001,16-04-2021,"7,52,481",4518.519404,,,,,
Chengalpattu,190215,16-04-2021,"25,56,244",7441.19106,,,,,
Chennai,1113158,16-04-2021,"71,00,000",15678.28169,,,,,
Coimbatore,316406,16-04-2021,"34,72,578",9111.559193,,,,,
Cuddalore,109732,16-04-2021,"26,00,880",4219.033558,,,,,
Dharmapuri,68962,16-04-2021,"15,02,900",4588.595382,,,,,
Dindigul,102398,16-04-2021,"21,61,367",4737.64983,,,,,
Erode,99088,16-04-2021,"22,59,608",4385.185395,,,,,
Kallakurichi,46601,16-04-2021,"13,70,281",3400.835303,,,,,
Kancheepuram,53228,16-04-2021,"11,66,401",4563.43916,,,,,
Kanniyakumari,88554,16-04-2021,"18,63,178",4752.847017,,,,,
Karur,46094,16-04-2021,"10,76,588",4281.489298,,,,,
Krishnagiri,107629,16-04-2021,"18,83,731",5713.607728,,,,,
Madurai,180855,16-04-2021,"39,91,038",4531.527888,,,,,
Nagapattinam,45799,16-04-2021,"16,14,069",2837.487121,,,,,
Namakkal,113981,16-04-2021,"7,35,071",15506.12118,,,,,
The Nilgiris,100368,16-04-2021,"24,71,222",4061.472421,,,,,
Perambalur,27662,16-04-2021,"17,21,179",1607.154166,,,,,
Pudukkottai,62621,16-04-2021,"5,64,511",11092.96364,,,,,
Ramanathapuram,54567,16-04-2021,"19,18,725",2843.91979,,,,,
Ranipet,35319,16-04-2021,"13,37,560",2640.554442,,,,,
Salem,274240,16-04-2021,"12,10,277",22659.27552,,,,,
Sivagangai,53763,16-04-2021,"34,80,008",1544.910242,,,,,
Tenkasi,49262,16-04-2021,"13,41,250",3672.842498,,,,,
Thanjavur,114240,16-04-2021,"14,07,627",8115.786355,,,,,
Theni,47287,16-04-2021,"27,13,858",1742.427201,,,,,
Thoothukudi,59766,16-04-2021,"12,43,684",4805.561541,,,,,
Tiruchirapalli,171353,16-04-2021,"16,65,253",10289.9079,,,,,
Tirunelveli,58173,16-04-2021,"24,02,781",2421.069586,,,,,
Tirupathur,56377,16-04-2021,"17,38,376",3243.08435,,,,,
Tiruppur,106172,16-04-2021,"11,11,812",9549.456203,,,,,
Tiruvallur,138386,16-04-2021,"37,25,697",3714.365393,,,,,
Tiruvannamalai,66221,16-04-2021,"12,68,094",5222.089214,,,,,
Tiruvarur,30683,16-04-2021,"24,68,965",1242.747467,,,,,
Vellore,131289,16-04-2021,"16,14,242",8133.167146,,,,,
Villupuram,87715,16-04-2021,"20,93,003",4190.868336,,,,,
Virudhunagar,149959,16-04-2021,"19,43,309",7716.683245,,,,,
Ariyalur,52059,16-05-2021,"7,52,481",6918.314217,,,,,
Chengalpattu,295936,16-05-2021,"25,56,244",11576.98561,,,,,
Chennai,1697944,16-05-2021,"71,00,000",23914.70423,,,,,
Coimbatore,471316,16-05-2021,"34,72,578",13572.51011,,,,,
Cuddalore,166735,16-05-2021,"26,00,880",6410.714835,,,,,
Dharmapuri,101697,16-05-2021,"15,02,900",6766.717679,,,,,
Dindigul,159834,16-05-2021,"21,61,367",7395.042119,,,,,
Erode,159923,16-05-2021,"22,59,608",7077.466534,,,,,
Kallakurichi,67460,16-05-2021,"13,70,281",4923.077821,,,,,
Kancheepuram,82074,16-05-2021,"11,66,401",7036.516601,,,,,
Kanniyakumari,136555,16-05-2021,"18,63,178",7329.144075,,,,,
Karur,69913,16-05-2021,"10,76,588",6493.941972,,,,,
Krishnagiri,163446,16-05-2021,"18,83,731",8676.71658,,,,,
Madurai,264526,16-05-2021,"39,91,038",6628.000034,,,,,
Nagapattinam,68991,16-05-2021,"16,14,069",4274.352583,,,,,
Namakkal,173223,16-05-2021,"7,35,071",23565.47871,,,,,
The Nilgiris,162969,16-05-2021,"24,71,222",6594.672595,,,,,
Perambalur,38816,16-05-2021,"17,21,179",2255.198326,,,,,
Pudukkottai,97305,16-05-2021,"5,64,511",17237.04233,,,,,
Ramanathapuram,82456,16-05-2021,"19,18,725",4297.4371,,,,,
Ranipet,54657,16-05-2021,"13,37,560",4086.321361,,,,,
Salem,393084,16-05-2021,"12,10,277",32478.84575,,,,,
Sivagangai,80805,16-05-2021,"34,80,008",2321.977421,,,,,
Tenkasi,73551,16-05-2021,"13,41,250",5483.765144,,,,,
Thanjavur,162095,16-05-2021,"14,07,627",11515.4796,,,,,
Theni,67812,16-05-2021,"27,13,858",2498.730589,,,,,
Thoothukudi,94287,16-05-2021,"12,43,684",7581.266624,,,,,
Tiruchirapalli,246908,16-05-2021,"16,65,253",14827.05631,,,,,
Tirunelveli,88042,16-05-2021,"24,02,781",3664.170809,,,,,
Tirupathur,76738,16-05-2021,"17,38,376",4414.349945,,,,,
Tiruppur,157799,16-05-2021,"11,11,812",14192.95708,,,,,
Tiruvallur,211797,16-05-2021,"37,25,697",5684.761804,,,,,
Tiruvannamalai,95194,16-05-2021,"12,68,094",7506.856747,,,,,
Tiruvarur,54392,16-05-2021,"24,68,965",2203.028394,,,,,
Vellore,186223,16-05-2021,"16,14,242",11536.25045,,,,,
Villupuram,123739,16-05-2021,"20,93,003",5912.03166,,,,,
Virudhunagar,220242,16-05-2021,"19,43,309",11333.34946,,,,,
Ariyalur,34635,17-04-2021,"7,52,481",4602.774024,,,,,
Chengalpattu,194051,17-04-2021,"25,56,244",7591.254982,,,,,
Chennai,1151618,17-04-2021,"71,00,000",16219.97183,,,,,
Coimbatore,322174,17-04-2021,"34,72,578",9277.660574,,,,,
Cuddalore,112714,17-04-2021,"26,00,880",4333.68706,,,,,
Dharmapuri,70858,17-04-2021,"15,02,900",4714.75148,,,,,
Dindigul,104066,17-04-2021,"21,61,367",4814.823211,,,,,
Erode,101619,17-04-2021,"22,59,608",4497.195974,,,,,
Kallakurichi,47436,17-04-2021,"13,70,281",3461.77171,,,,,
Kancheepuram,54809,17-04-2021,"11,66,401",4698.984312,,,,,
Kanniyakumari,90132,17-04-2021,"18,63,178",4837.541019,,,,,
