District,Total,Date,Population,Vac,,,,,
Karur,34606,02-04-2021,"10,76,588",3214.414428,,,,,
Krishnagiri,83216,02-04-2021,"18,83,731",4417.615891,,,,,
Madurai,125229,02-04-2021,"39,91,038",3137.75514,,,,,
Nagapattinam,31803,02-04-2021,"16,14,069",1970.361862,,,,,
Namakkal,81212,02-04-2021,"7,35,071",11048.18446,,,,,
The Nilgiris,72993,02-04-2021,"24,71,222",2953.720872,,,,,
Perambalur,20963,02-04-2021,"17,21,179",1217.944211,,,,,
Pudukkottai,43390,02-04-2021,"5,64,511",7686.298407,,,,,
Ramanathapuram,33636,02-04-2021,"19,18,725",1753.039128,,,,,
Ranipet,23529,02-04-2021,"13,37,560",1759.098657,,,,,
Salem,196659,02-04-2021,"12,10,277",16249.09008,,,,,
Sivagangai,37063,02-04-2021,"34,80,008",1065.026287,,,,,
Tenkasi,34383,02-04-2021,"13,41,250",2563.504194,,,,,
Thanjavur,79806,02-04-2021,"14,07,627",5669.541718,,,,,
Theni,27815,02-04-2021,"27,13,858",1024.924664,,,,,
Thoothukudi,37396,02-04-2021,"12,43,684",3006.873129,,,,,
Tiruchirapalli,114481,02-04-2021,"16,65,253",6874.691113,,,,,
Tirunelveli,38332,02-04-2021,"24,02,781",1595.318092,,,,,
Tirupathur,31638,02-04-2021,"17,38,376",1819.974505,,,,,
Tiruppur,67757,02-04-2021,"11,11,812",6094.285725,,,,,
Tiruvallur,90444,02-04-2021,"37,25,697",2427.572613,,,,,
Tiruvannamalai,45241,02-04-2021,"12,68,094",3567.63773,,,,,
Tiruvarur,21583,02-04-2021,"24,68,965",874.1719708,,,,,
Vellore,87102,02-04-2021,"16,14,242",5395.845233,,,,,
Villupuram,73861,02-04-2021,"20,93,003",3528.948597,,,,,
Virudhunagar,112109,02-04-2021,"19,43,309",5768.974466,,,,,
Ariyalur,42231,02-05-2021,"7,52,481",5612.234728,,,,,
Chengalpattu,253585,02-05-2021,"25,56,244",9920.218884,,,,,
Chennai,1492075,02-05-2021,"71,00,000",21015.14085,,,,,
Coimbatore,421087,02-05-2021,"34,72,578",12126.06312,,,,,
Cuddalore,142898,02-05-2021,"26,00,880",5494.217342,,,,,
Dharmapuri,87114,02-05-2021,"15,02,900",5796.393639,,,,,
Dindigul,136830,02-05-2021,"21,61,367",6330.7157,,,,,
Erode,137229,02-05-2021,"22,59,608",6073.133039,,,,,
Kallakurichi,55744,02-05-2021,"13,70,281",4068.07071,,,,,
Kancheepuram,67775,02-05-2021,"11,66,401",5810.608873,,,,,
Kanniyakumari,118784,02-05-2021,"18,63,178",6375.343633,,,,,
Karur,54978,02-05-2021,"10,76,588",5106.68891,,,,,
Krishnagiri,130941,02-05-2021,"18,83,731",6951.15173,,,,,
Madurai,227290,02-05-2021,"39,91,038",5695.009669,,,,,
Nagapattinam,58323,02-05-2021,"16,14,069",3613.414296,,,,,
Namakkal,141713,02-05-2021,"7,35,071",19278.81796,,,,,
The Nilgiris,134471,02-05-2021,"24,71,222",5441.477941,,,,,
Perambalur,33966,02-05-2021,"17,21,179",1973.414735,,,,,
Pudukkottai,81993,02-05-2021,"5,64,511",14524.60625,,,,,
Ramanathapuram,70870,02-05-2021,"19,18,725",3693.598614,,,,,
Ranipet,46268,02-05-2021,"13,37,560",3459.134543,,,,,
Salem,342001,02-05-2021,"12,10,277",28258.07646,,,,,
